sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid29744	Litsea japonica										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid73827	Callistemon glaucus										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid164936	Melaleuca leucadendra										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid212256	Oxalis corniculata										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid43073	Pittosporum tobira										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid3617	Fagopyrum esculentum										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid488216	Reynoutria japonica										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid23166	Eriobotrya										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid398295	Rhaphiolepis umbellata										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid75067	Rubus crataegifolius										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
